BIHU,65.9523,-17.4260,Húsavík Airport,Húsavík,0
BIIS,66.0581,-23.1353,Ísafjörður Airport,Ísafjörður,0
BIKF,63.9850,-22.6056,Keflavik International Airport,Reykjavík,0
BIRK,64.1287,-21.9376,Reykjavík Domestic Airport,Reykjavík,0
BIRL,65.6558,-16.9181,Mývatn Airport,Myvatn,0
BISI,66.1378,-18.9082,Siglufjörður Airport,Siglufjörður,0
BITN,66.2185,-15.3347,Þórshöfn Airport,Þórshöfn,0
BIVM,63.4243,-20.2789,Vestmannaeyjar Airport,Vestmannaeyjar,0
BIVO,65.7206,-14.8506,Vopnafjörður Airport,Vopnafjörður,0
BKPR,42.5728,21.0358,Priština Adem Jashari International Airport,Prishtina,1
CBBC,52.1850,-128.1570,Bella Bella (Campbell Island) Airport,Bella Bella,-9
CRHA,53.8226,-126.1730,Streatham Reef Hueston Airfield,Streatham,-8
CYAB,73.0061,-85.0462,Arctic Bay Airport,Arctic Bay,-6
CYAC,51.7272,-91.8244,Cat Lake Airport,Cat Lake,-6
CYAG,48.6557,-93.4435,Fort Frances Municipal Airport,Fort Frances,-6
CYAH,53.7547,-73.6753,La Grande-4 Airport,La Grande-4,-5
CYAL,50.5822,-126.9160,Alert Bay Airport,Alert Bay,-8
CYAM,46.4832,-84.5085,Sault Ste Marie Airport,Sault Ste Marie,-5
CYAQ,53.5247,-88.6428,Kasabonika Airport,Kasabonika,-5
CYAS,60.0272,-69.9992,Kangirsuk Airport,Kangirsuk,-5
CYAT,52.9275,-82.4319,Attawapiskat Airport,Attawapiskat,-5
CYAV,50.0564,-97.0325,Winnipeg / St. Andrews Airport,Winnipeg/Saint Andrews,-6
CYAX,50.2944,-96.0100,Lac du Bonnet Airport,Lac du Bonnet,-6
CYAY,51.3919,-56.0832,St. Anthony Airport,St. Anthony,-3.5
CYAZ,49.0798,-125.7756,Tofino / Long Beach Airport,Tofino,-8
CYBB,68.5357,-89.8055,Kugaaruk Airport,Kugaaruk,-7
CYBC,49.1325,-68.2044,Baie-Comeau Airport,Baie-Comeau,-5
CYBD,52.3875,-126.5960,Bella Coola Airport,Bella Coola,-8
CYBE,59.5614,-108.4810,Uranium City Airport,Uranium City,-6
CYBF,54.3042,-110.7440,Bonnyville Airport,Bonnyville,-7
CYBG,48.3301,-70.9920,Saguenay-Bagotville Airport,Saguenay,-5
CYBK,64.2989,-96.0778,Baker Lake Airport,Baker Lake,-6
CYBL,49.9508,-125.2710,Campbell River Airport,Campbell River,-8
CYBQ,58.7063,-98.5111,Tadoule Lake Airport,Tadoule Lake,-6
CYBR,49.9100,-99.9519,Brandon Municipal Airport,Brandon,-6
CYBT,57.8894,-101.6790,Brochet Airport,Brochet,-6
CYBU,53.3325,-104.0080,Nipawin Airport,Nipawin,-7
CYBV,52.3589,-97.0183,Berens River Airport,Berens River,-6
CYBW,51.1040,-114.3694,Calgary / Springbank Airport,Calgary,-7
CYBX,51.4436,-57.1853,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,-4
CYCA,53.6825,-57.0423,Cartwright Airport,Cartwright,-4
CYCB,69.1081,-105.1380,Cambridge Bay Airport,Cambridge Bay,-7
CYCC,45.0926,-74.5677,Cornwall Regional Airport,Cornwall,-5
CYCD,49.0550,-123.8699,Nanaimo Airport,Nanaimo,-8
CYCE,43.2856,-81.5083,Centralia / James T. Field Memorial Aerodrome,Huron Park,-5
CYCG,49.2964,-117.6320,Castlegar/West Kootenay Regional Airport,Castlegar,-8
CYCH,47.0078,-65.4492,Miramichi Airport,Miramichi,-4
CYCL,47.9908,-66.3303,Charlo Airport,Charlo,-4
CYCN,49.1056,-81.0136,Cochrane Airport,Cochrane,-5
CYCO,67.8164,-115.1431,Kugluktuk Airport,Kugluktuk,-7
CYCP,52.1167,-119.2830,Blue River Airport,Blue River,-8
CYCQ,55.6872,-121.6270,Chetwynd Airport,Chetwynd,-8
CYCR,54.6098,-97.7624,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,-6
CYCS,63.3469,-90.7311,Chesterfield Inlet Airport,Chesterfield Inlet,-6
CYCY,70.4861,-68.5167,Clyde River Airport,Clyde River,-5
CYDA,64.0431,-139.1280,Dawson City Airport,Dawson City,-8
CYDB,61.3711,-139.0410,Burwash Airport,Burwash Landing,-8
CYDF,49.2082,-57.3961,Deer Lake Airport,Deer Lake,-3.5
CYDL,58.4222,-130.0320,Dease Lake Airport,Dease Lake,-8
CYDM,61.9706,-132.4230,Ross River Airport,Ross River,-9
CYDN,51.1008,-100.0520,Dauphin Barker Airport,Dauphin,-6
CYDO,48.7785,-72.3750,Dolbeau-Saint-Felicien Airport,Dolbeau-Saint-Felicien,-5
CYDP,56.5508,-61.6822,Nain Airport,Nain,-4
